,codigo,bairro,valor,condominio+iptu,area,banheiros,suites,garagem,portao eletronico,DCE,salas,total de uni.,varanda,piscinas,posicao,descricao da vaga,unidade por andar,sol da manha,playground,circuito de tv,quadra de esporte,jardins,elevador,academia,hall social,sauna,salao de festas,quartos,portaria permanente
901,578628,praia de santa helena,950000.0,551.0,108.0,1.0,2.0,3.0,1,0,1,96,1,1, Lateral, privativas e cobertas ,4,1,1,1,1,1,1,1,1,1,1,3,1
1139,516013,praia da baleia,145000.0,237.62,63.31,1.0,0.0,1.0,1,0,1,20,1,1, Frente, privativa e descoberta ,4,1,1,0,1,1,0,0,0,0,0,3,1
1487,647447,praia da costa,849300.0,2484.61,158.7,1.0,2.0,2.0,1,1,2,72,2,1, Fundo, privativa e coberta ,6,0,1,1,1,1,1,1,1,1,1,3,1
112,633776,praia do canto,265000.0,406.46,87.0,2.0,1.0,1.0,0,0,1,24,0,0, Lateral, rotativa ,2,0,0,0,0,0,0,0,0,0,0,3,0
348,659010,barro vermelho,380000.0,651.23,50.0,1.0,,1.0,1,0,1,0,1,1, Frente, ,0,1,1,1,0,1,1,1,1,0,0,1,0
122,595669,parque moscoso,270000.0,531.96,120.0,2.0,1.0,1.0,1,1,1,72,0,0, Frente, coberta-rotativa e livre ,4,1,0,0,0,0,1,0,1,0,0,3,1
6,547683,praia de santa helena,160000.0,0.0,13.0,1.0,0.0,0.0,1,0,0,220,0,0, Frente, ,22,0,0,1,0,0,1,0,1,0,0,1,1
1312,601829,praia da costa,285000.0,474.73,77.0,1.0,1.0,1.0,0,1,1,120,1,1, Frente, privativa e coberta ,8,1,0,1,1,1,1,1,1,1,1,2,1
324,638201,praia do suá,370000.0,482.13,63.0,2.0,1.0,1.0,1,0,1,0,1,1, Lateral, ,6,0,1,1,0,1,1,1,1,1,1,2,1
986,661544,praia do canto,1400000.0,1644.97,260.0,5.0,4.0,3.0,1,0,0,10,2,0, Frente," privativa, livre, coberta ",1,0,0,0,0,0,1,0,0,1,1,4,1
403,639944,praia do canto,410000.0,555.0,93.0,2.0,1.0,1.0,0,0,1,12,0,0, Frente, livre e coberta ,4,1,0,0,0,0,0,0,0,0,0,3,0
388,659553,jardim da penha,399900.0,0.0,55.0,1.0,1.0,1.0,0,0,1,24,1,0, Frente, ,4,0,0,0,0,1,1,0,0,1,1,2,1
129,652594,enseada do suá,270000.0,673.71,75.0,2.0,,1.0,1,1,1,96,1,1, Frente, livre ,6,0,1,1,1,1,1,0,1,1,1,2,1
892,657027,praia do canto,900000.0,1390.0,320.0,3.0,1.0,3.0,1,1,1,45,1,0, Frente, 1 solta e 2 solidárias. todas cobertas ,4,1,0,1,0,0,1,0,0,0,0,4,1
